source	target	notes
一石二鸟，阳谋！	Two Birds with One Stone, an Open Scheme!	owner-final Ch.1264 title; preserve both the two-birds image and open-scheme concept
天府	Celestial Court	owner-final Ch.1264; major Boundary Heaven listed beside the Immortal Pivot, Star Palace, and Mysterious Wall
星宫	Star Palace	owner-final Ch.1264; established major Boundary Heaven
玄垣	Mysterious Wall	owner-final Ch.1264; established major Boundary Heaven
神龙见首不见尾	as elusive as a divine dragon, its head visible but never its tail	owner-final Ch.1264; preserve the divine-dragon head-and-tail image
四两拨千斤	Four ounces moving a thousand pounds.	owner-final Ch.1264; preserve the exact weight contrast
举重若轻	lifting the heaviest burden as though it weighed nothing	owner-final Ch.1264; linked to the Primordial Saint's effortless control
易如反掌	as simple as turning over His palm	owner-final Ch.1264; preserve the turning-palm image
夺淮之变	Usurpation of the Huai	owner-final Ch.1264; established False History imagery used by the Ancestral Dragon
润下	Flowing Downward	owner-final Ch.1264; Flying Snow's Empty Attainment
成道地	Dao-attainment ground	owner-final Ch.1264; a site built in the Fathomless Void
下修	lesser cultivator	owner-final Ch.1264 in the Primordial Saint's private question
