source	target	notes
征江北	March on Jiangbei	Chapter 1251 title rendering retained after the owner's final prose pass
圣火崖	Sacred Fire Cliff	verified world reference and owner final Ch. 1251; never Sacred Flame Cliff
三十三天地纵横弈道大阵	Thirty-Three Heavens Vertical and Horizontal Go Formation	owner final Ch. 1251; preserve the Go-board logic and the vertical-and-horizontal wording
昭明律	Illuminating Law	owner final Ch. 1251
玄天正冠	Profound Heaven Upright Crown	owner final Ch. 1251 and verified reference rendering
八不慧剑	Eight Negations Wisdom Sword	owner final Ch. 1251 and verified reference rendering; preserves the Buddhist Eight Negations allusion
紫青兜率火	Purple-Azure Tushita Fire	owner final Ch. 1251 and verified reference rendering
铭天章	Inscribing the Heavenly Chapter	owner final Ch. 1251 and verified reference rendering; normally takes the definite article
火行至尊	Supreme Fire Element Fruition Attainment	contextual owner-final Ch. 1251 rendering; capitalize Supreme in this formal status phrase
自裁	take one's own life	use this dignified wording in formal decrees and immediate thought; surrounding explanatory narration may use suicide where natural
