source	target	notes
第1280章 道争	Chapter 1280: Dao Struggle	owner-final title retained from the source because the supplied owner edit was body-only
叁合	Sanhe	owner-final Ch.1280; reaffirms the Grand Sword Patriarch's true name
念瑶	Nian Yao	owner-final Ch.1280; the Sword Sovereign's personal name
修真道主	Cultivating Truth Dao Lord	owner-final Ch.1280; Dao Lord pronouns apply
万象命运	the fate of all things	owner-final Ch.1280; concise collective rendering
规模和体型	scale and size	owner-final contextual wording; omit the unnecessary modifier "physical"
一道剑光	a sword light	owner-final Ch.1280; concise xianxia combat image
天地八极	the eight poles of the world	owner-final Ch.1280; preserve the cosmological image
无匹锋芒	an unparalleled edge	owner-final Ch.1280
初次伐天	war against the Heavens	owner-final Ch.1280 contextual rendering; the established formal named-event form "March on Heaven" remains valid elsewhere
初次靠近【天道】	first exploration of the Heavenly Dao	owner-final Ch.1280 contextual rendering
重新修改回来	reverse every altered fate and restore them all	owner-final contextual wording; state both reversal and restoration
真切的价值	true meaning	owner-final Ch.1280; natural metaphysical wording
还有天理吗？	Was there any justice left under Heaven?	owner-final intent with the article slip normalized; capitalized Heaven preserves the cosmological appeal
这并非他一人之力	This isn't his power alone.	owner-final Ch.1280; present-tense appraisal in dialogue
低声赞叹	murmur in admiration	owner-final Ch.1280; controlled praise rather than an added speech tag
如何不能和念瑶一战？	How could he not be able to fight Nian Yao?	owner-final intent with capability and interrogative grammar restored
他做得比我当年更好	He has done... better than I did back then.	owner-final Ch.1280; preserve the hesitation and present-perfect appraisal
一介独夫	one man standing alone	owner-final Ch.1280; emphasizes the contrast with Lü Yang's collective power
