source	target	notes
第1278章 痛打落水狗！	Chapter 1278: Beat the Drowning Dog!	Ch.1278 title retained because the owner supplied body-only prose; preserve the idiom and exclamation mark
当世	present world	owner-final Ch.1278 contextual rendering; use for the current inhabited age when "mortal world" would flatten the temporal emphasis
成道	prove the Dao	owner-final Ch.1278 default for the completed cultivation achievement; use "attain the Dao" only where an established construction or place of attainment requires it [except: 成道隐玄府|成道地|成道之地]
光铸的双手	hands forged from light	explicit owner correction supplied after Ch.1277; do not invert to "light-forged hands"
法力道	Spiritual Power Dao	owner-final Ch.1278; Du Xuan's Great Dao
法术道	Spell Dao	owner-final Ch.1278; the Great Dao of Myriad Spells
天地灵机	spiritual qi of heaven and earth	owner-final Ch.1278; the ambient power Lü Yang commands as the Sea of Light
五行至尊果位	Supreme Fruition Attainments of the Five Elements	owner-final Ch.1278 collective term
拳印	fist seal	owner-final Ch.1278
彼岸碎片	fragment of the Other Shore	owner-final Ch.1278
剑锋金	Sword-Edge Metal	owner-final Ch.1278; Supreme Metal Element Fruition Attainment
大海水	Great Ocean Water	owner-final Ch.1278; Supreme Water Element Fruition Attainment
一合之敌	withstand a single exchange	owner-final Ch.1278 contextual wording; keep the combat measure concrete
冥冥中	through the unseen world	owner-final Ch.1278 contextual wording; concise metaphysical phrasing without adding "workings"
光海万道源流	the source and origin of every Dao in the Sea of Light	owner-final Ch.1278; direct declarative wording with distributive "every Dao"
痛打落水狗	beat a drowning dog	owner-final Ch.1278 body idiom; the title uses "Beat the Drowning Dog!"
滚回去！	Get the hell back!	owner-final Ch.1278; preserve the contempt and force of 滚 in concise modern dialogue
道音	Dao resonance	owner-final Ch.1278; here it is beyond the hearing of ordinary ears
此人此拳，已非蝼蚁。	This man and his fist were no longer at the level of an ant.	owner-final Ch.1278 intent with subject-verb agreement normalized; retain the direct ant comparison
