source	target	notes
听幽祖师	the Nether Whisper Ancestor	the article is part of the fixed rendering; owner correction Ch. 1221
龙君	Dragon Monarch	named individual Dragon Monarch titles normally take "the" in running prose; owner final Ch. 1222
荡魔真人	Demon-Purging True Person	bare proper title in normal narration; never "the Demon-Purging True Person"; owner final Ch. 1222
补天缺	Bu Tianque	owner-confirmed name spelling used in current chapters
不涸川	Never-Drying River	owner correction Ch. 1221
东流尊	Lord of the Eastern Flow	owner confirmation Ch. 1223
天地根	Foundation of Heaven and Earth	owner confirmation Ch. 1223
资同饮	Shared Nourishment	owner correction Ch. 1223
涧下水	Valley Water	established verified rendering
不杀剑意	No-Killing Sword Intent	established verified rendering
皆斩剑意	All-Slaying Sword Intent	established verified rendering
至人	Perfected Person	Ch. 1223 sword intent and chapter title
阳湖龙君	Yanghu Dragon Monarch	use "the Yanghu Dragon Monarch" in normal running prose; owner correction Ch. 1223
旁门阴阳	unorthodox path to Yin and Yang	exact owner correction Ch. 1226
阴阳旁门	unorthodox path to Yin and Yang	same concept with reversed Chinese word order
万众一心	the One Mind	owner correction Ch. 1225; never "Myriad Hearts as One"
修真道主	Cultivating Truth Dao Lord	identity revealed Ch. 1227; Dao Lord pronouns apply
定数	Destiny	owner correction Ch. 1228; never "Fixed Outcome"
化神飞升	Divine Transformation and Ascension	established rendering
宝光萤煌菩萨	Treasure Light Gleaming Radiance Bodhisattva	established rendering
碧落扶光真君	True Monarch Azure Firmament	established identity of the Ancestral Dragon
丹鼎	Alchemy Cauldron	person or title; bare form where the source uses the identity
龙虎山	Dragon-Tiger Mountain	established rendering
元婴丹	Nascent Soul Pill	established rendering
天心锁	Heavenly Heart Lock	established rendering
司祟残念	Si Sui's Remnant Consciousness	fixed capitalization
提线木偶	Marionette	established talent and control method
虚瞑	Fathomless Void	established cosmological rendering
混沌	Primordial Chaos	capitalize
圣人	Saint	owner correction Ch. 1231; use Saint, never Sage, for Si Sui and related epithets
光海圣人	Saint of the Sea of Light	Si Sui epithet; Saint, never Sage
遍历红尘法	Traversing the Mortal Dust	Si Sui's good-and-evil Primordial Spirit method in Ch. 1231 onward
真我	True Self	owner correction Ch. 1232; capitalize both words everywhere
善识	good consciousness	established Ch. 1224 onward
恶识	evil consciousness	established Ch. 1224 onward
善我	good self	established Ch. 1224 onward
恶我	evil self	established Ch. 1224 onward
司天氏	Sitian Clan	Si Sui's ancestral Dharma Body bloodline clan
变数	Variable|Variables	use singular for one individual and plural for multiple individuals or the plural class; owner clarification Ch. 1234
天书	Heavenly Book	usually takes "the"; locked verified reference rendering
百世书	Book of a Hundred Lives	usually takes "the"; locked verified reference rendering
祖龙别院	Ancestral Dragon's Detached Court	locked verified reference rendering
天人残识	Heavenly Person's Remnant Consciousness|Heavenly Person's Remnant Consciousnesses	number follows the source and context
齐物论	Equality of Things	established reference rendering
御极司命真君	True Monarch Sovereign of Fate	established verified rendering; Lü Yang's title
炼天兜	Lian Tiandou	first-generation Alchemy Cauldron Peak Lord
天罚	Heavenly Punishment	established rendering; Ch. 1242 title
五天数	Five Heavenly Numbers	established verified rendering
水行	Water Element	established elemental rendering
火行	Fire Element	established elemental rendering
天上火	Heavenly Fire	verified Fruition Attainment rendering
覆灯火	Overturned Lamp Fire	verified Fruition Attainment rendering
霹雳火	Thunderbolt Fire	verified Fruition Attainment rendering
山下火	Molten Fire	verified Fruition Attainment rendering
炉中火	Furnace Fire	verified Fruition Attainment rendering
神霄雷	Divine Firmament Thunder	verified Fruition Attainment rendering
神君	Divine Monarch	established God-Sealing rank
天妖	heavenly demon	owner correction Ch. 1246; never celestial demon in this context
坎阳湖	Kan-Yang Lake	owner adopted this spelling in the final Chapter 1245 and revised Chapter 1246 prose
命数	Fate	distinct from 定数 = Destiny; the Sword Sovereign's river and divinatory authority in Ch. 1247
辛金	Xin-Metal	established Heavenly Stem elemental rendering; hyphenated
甲木	Jia-Wood	established Heavenly Stem elemental rendering; hyphenated
乙木	Yi-Wood	established Heavenly Stem elemental rendering; hyphenated
癸水	Gui-Water	established Heavenly Stem elemental rendering; hyphenated
巳火	Si-Fire	established Earthly Branch elemental rendering; hyphenated
辰土	Chen-Earth	established Earthly Branch elemental rendering; hyphenated
五行	Five Elements	capitalize as the named elemental system
小友	little friend	owner correction after Ch. 1247; never young friend
滴天髓	Dripping Heaven's Marrow	verified world-reference rendering; Lü Yang's Fate-linked Mystery
