source	target	notes
第1279章 贱妇，看剑！	Chapter 1279: Bitch, Face My Sword!	owner-final title; retain the blunt insult and exclamation mark
大道之血	blood of the Great Dao	owner-final Ch.1279; preserve the Heavenly River comparison in the full sentence
打头阵	be the first Dao Lord to take the field	owner-final contextual wording; action-specific and natural
名为拳，实为法	It appears to be a fist art, but its essence is the dharma.	owner-final Ch.1279; make the surface-versus-essence contrast explicit
气象恢弘的一拳	the fist had such magnificent momentum	owner-final contextual wording; attach the grandeur to the attack's momentum
真传	true inheritance	owner-final Ch.1279; prefer cultivation-lineage language to the generic "true teachings"
宝命全形经	Treasured Life Perfect Form Scripture	owner-final Ch.1279
容纳五大天数	encompass the Five Heavenly Numbers	owner-final Ch.1279; "encompass" rather than "contain"
天塌了有个高的顶着	Even if the heavens fell, someone else would hold them up.	owner-final intent with spelling, article, and agreement normalized; remove the awkward taller-person construction
道争	Dao Struggle	owner-final Ch.1279; capitalized formal conflict over the Dao
真正的道敌	a true enemy in Their Dao Struggle	owner-final contextual wording; capitalize Their for the collective Dao Lords
锦上添花，却不是雪中送炭	flowers added to a brocade, not charcoal delivered in the snow	owner-final Ch.1279; preserve both linked images in a natural parallel construction
狮子搏兔亦用全力	even a lion uses its full strength when hunting a rabbit	owner-final Ch.1279; "full strength" is the preferred collocation
雷霆之势	one swift, thunderous blow	owner-final contextual combat wording
命运长河	River of Fate	owner-final Ch.1279
剑锋金	Sword Edge Metal	owner-final Ch.1279; supersedes the earlier hyphenated rendering
虚影	a faint, spectral figure	owner-final contextual wording; establish the figure in the same visual beat as its appearance
道德绑架	exploited his humanity	owner-final contextual rendering for Sanhe's manipulation; prefer the character consequence to a clinical label
甘之如饴	accepted it gladly, as though it were sweet syrup	owner-final Ch.1279; retain the sweetness image
甲子荡魔	purging demons for sixty years	owner-final verbal form in this sentence; the compact event name remains "the sixty-year purge of demons"
听我剑鸣	listen well to the cry of my sword	owner-final Ch.1279; ceremonial of-construction
此前的几世末尾	the final moments of his previous lives	owner-final Ch.1279; explicit temporal endpoint
道主之意就是天意	A Dao Lord's will was Heaven's Will.	owner-final Ch.1279; capitalize the metaphysical term
神意	divine will	owner-final Ch.1279; replaces the looser "divine intent"
有愧人	not before a single person	owner-final contextual body-line echo; the established Chapter 1272 title remains "Though Not Before Men"
斩道，诛天！	Sever the Dao and slay Heaven!	owner-final Ch.1279
剑光开天	Sword light split the heavens open.	owner-final Ch.1279; lowercase plural heavens for the physical firmament
一剑出	One sword struck out.	owner-final contextual wording; use the direct martial verb
天意	Heaven's Will	owner-final Ch.1279; distinct from the physical heavens
贱妇，看剑！	Bitch, face my sword!	owner-final Ch.1279; do not soften the insult
