source	target	notes
此生唯一的机会	The Only Chance in This Life	owner-final Ch.1260 title and echoed closing thought
大乘正觉根本经	Mahayana True Enlightenment Scripture	owner-final Ch.1260; the scripture the World-Honored One promoted while founding the Pure Land
本尊	This Venerable	owner-final Ch.1260 self-reference used by the World-Honored One
【时光】	Time	owner-final Ch.1260; the named Dao through which the Primordial Saint originally proved the Dao, distinct from ordinary elapsed time
时光长河	River of Time	owner-final Ch.1260; the former shape of the Primordial Saint's Dao foundation
因果大网	Great Net of Karma	owner-final Ch.1260; capitalize the full name and normally use the definite article
太一兽	Taiyi Beast	owner-final Ch.1260; Sublime Bliss's Taiyi true body, raised by Myriad Spells
童叟无欺	guaranteed honest, deceiving neither the young nor the old	owner-final Ch.1260; preserve both age groups and the sales-pitch joke
黔驴技穷	a donkey at the end of its tricks	owner-final Ch.1260 wording; preserve the donkey image
杀手锏	killer move in reserve	owner-final Ch.1260 contextual rendering
奠定胜局	decide the outcome	owner-final Ch.1260 contextual rendering
