source	target	notes
化神飞升，再启！	Divine Transformation and Ascension Begins Again!	owner-final Ch.1261 chapter title; closing narration is "Divine Transformation and Ascension began once more!"
金行	Metal Element	owner-final Ch.1261 elemental rendering
木行	Wood Element	owner-final Ch.1261 elemental rendering
土行	Earth Element	owner-final Ch.1261 elemental rendering
道无疆	Boundless Dao	owner-final Ch.1261 Mystery of Great Post Earth
大驿土	Great Post Earth	owner-final Ch.1261 Fruition Attainment rendering
梦外的真实世界	true world beyond the dream	owner-final Ch.1261 dream contrast; context-specific phrasing
诏谕，太一兽妙乐，陛见帝廷！	Edict: Taiyi Beast Sublime Bliss, present yourself before the Imperial Court!	owner-final Ch.1261 formal edict; preserve bold bracketed panel formatting
初代丹鼎峰主	The First-Generation Alchemy Cauldron Peak Lord	owner-final Ch.1261 standalone identity call-out
元婴丹	The Nascent Soul Pill	owner-final Ch.1261 standalone emphatic call-out; ordinary running use remains Nascent Soul Pill
入我掌中一游	come take a tour inside my palm	owner-final Ch.1261; preserves the palm image and capture joke
