source	target	notes
我其实一点也不蠢	I'm Actually Not Stupid at All	owner-final Ch.1262 title and Dao Tianqi's closing declaration
紫青兜率真火	Purple-Azure Tushita Fire	owner-final Ch.1262; established alchemical flame surrounding the mountain range and pill furnace
幽冥府君殿	Underworld Sovereign's Hall	owner-final Ch.1262; established core of the Underworld
天外	Outer Heavens	owner-final Ch.1262 location phrase; capitalize both words
【天】	the character for Heaven	owner-final Ch.1262 in explanatory narration; standalone call-out remains Heaven!
太易天	Tai Yitian	owner-final Ch.1262; the Primordial Saint's true name
冥府之主	Lord of the Underworld	owner-final Ch.1262 title for Dao Tianqi in this scene
计划总是赶不上变化	No plan can ever keep pace with change.	owner-final Ch.1262 wording in the Sword Sovereign's dialogue
入彀	lure into the snare	owner-final Ch.1262; preserve the snare image
笑到最后	see who has the last laugh	owner-final Ch.1262; preserve the concluding-laughter idiom
